MMTS (100 broadcast interval)
Tick,Average error
697,206.65333531272012
698,206.65333531272
699,206.65333531272
700,206.65333531272006
701,206.65333531272
702,206.65333531272
703,206.65333531272015
704,206.6533353127202
705,425.51687875992
706,425.5168787599201
707,425.51687875991985
708,425.5168787599201
709,425.51687875992
710,425.5168787599199
711,425.5168787599199
712,394.29723091122537
713,394.29723091122537
714,394.29723091122526
715,394.29723091122526
716,394.29723091122537
717,394.29723091122526
718,394.29723091122537
719,394.29723091122526
720,394.2972309112252
721,394.29723091122537
722,394.2972309112252
723,394.2972309112252
724,394.2972309112252
725,394.2972309112252
726,394.2972309112252
727,394.2972309112252
728,394.2972309112252
729,394.2972309112252
730,394.29723091122526
731,394.2972309112252
732,394.2972309112252
733,394.2972309112252
734,394.2972309112252
735,394.2972309112252
736,394.2972309112252
737,394.2972309112252
738,394.2972309112252
739,394.29723091122526
740,394.29723091122526
741,394.2972309112252
742,394.29723091122514
743,394.2972309112252
744,394.2972309112252
745,394.2972309112252
746,394.2972309112252
747,394.2972309112252
748,394.2972309112252
749,394.2972309112252
750,394.29723091122526
751,394.29723091122526
752,394.2972309112252
753,394.29723091122526
754,394.2972309112252
755,394.2972309112252
756,394.2972309112252
757,394.29723091122526
758,394.29723091122526
759,394.29723091122526
760,394.2972309112252
761,394.2972309112252
762,394.29723091122526
763,394.2972309112252
764,394.2972309112252
765,394.2972309112252
766,394.2972309112252
767,394.29723091122526
768,394.2972309112252
769,394.29723091122526
770,394.2972309112252
771,394.29723091122514
772,394.29723091122514
773,394.29723091122514
774,394.29723091122514
775,394.29723091122514
776,394.29723091122526
777,394.29723091122526
778,394.2972309112252
779,394.2972309112252
780,394.2972309112252
781,394.2972309112252
782,394.2972309112252
783,394.29723091122526
784,394.2972309112252
785,394.2972309112252
786,394.2972309112252
787,394.2972309112252
788,394.29723091122526
789,394.2972309112252
790,394.2972309112252
791,394.29723091122526
792,394.29723091122537
793,394.2972309112252
794,394.2972309112252
795,394.2972309112252
796,394.29723091122537
797,394.2972309112252
798,394.2972309112252
799,394.2972309112252
800,394.29723091122526
801,394.2972309112252
802,394.29723091122526
803,394.2972309112252
804,394.29723091122537
805,450.8181351164307
806,450.81813511643065
807,450.81813511643065
808,450.81813511643054
809,450.8181351164307
810,450.81813511643065
811,450.8181351164307
812,450.8181351164307
813,425.5148551947394
814,425.51485519473937
815,425.5148551947394
816,425.5148551947394
817,425.51485519473937
818,425.5148551947395
819,425.51485519473965
820,425.5148551947395
821,425.5148551947395
822,425.5148551947395
823,425.5148551947395
824,425.51485519473937
825,425.5148551947395
826,425.5148551947395
